1         2         3         
1         3         4         
5         6         2         
1         5         2         
1         4         7         
1         7         5         
8         7         4         
9         10        6         
6         5         9         
11        9         5         
5         7         11        
12        11        7         
8         13        7         
12        7         13        
13        8         14        
15        16        10        
10        9         15        
17        18        16        
16        15        17        
19        15        9         
9         11        19        
19        11        20        
12        20        11        
12        13        21        
12        21        20        
14        22        13        
21        13        22        
22        14        23        
24        25        18        
18        17        24        
26        27        25        
25        24        26        
28        17        15        
15        19        28        
29        24        17        
17        28        29        
28        19        30        
19        20        30        
31        30        20        
32        20        21        
31        20        32        
22        33        21        
32        21        33        
23        34        22        
33        22        34        
34        23        35        
36        37        27        
27        26        36        
38        39        37        
37        36        38        
40        26        24        
24        29        40        
41        36        26        
26        40        41        
28        42        29        
30        42        28        
43        40        29        
29        42        43        
42        30        44        
31        44        30        
31        32        45        
31        45        44        
33        46        32        
45        32        46        
34        47        33        
46        33        47        
35        48        34        
47        34        48        
48        35        49        
50        51        39        
39        38        50        
52        53        51        
51        50        52        
54        38        36        
36        41        54        
55        50        38        
38        54        55        
56        41        40        
40        43        56        
57        54        41        
41        56        57        
58        43        42        
58        42        44        
59        56        43        
43        58        59        
60        58        44        
45        61        44        
60        44        61        
46        62        45        
61        45        62        
47        63        46        
62        46        63        
48        64        47        
63        47        64        
49        65        48        
64        48        65        
65        49        66        
67        68        53        
53        52        67        
69        70        68        
69        68        67        
71        52        50        
50        55        71        
72        67        52        
52        71        72        
73        55        54        
54        57        73        
74        71        55        
55        73        74        
75        57        56        
56        59        75        
76        73        57        
57        75        76        
77        59        58        
60        77        58        
78        75        59        
59        77        78        
60        79        77        
60        61        79        
62        80        61        
80        79        61        
63        81        62        
80        62        81        
64        82        63        
81        63        82        
65        83        64        
82        64        83        
66        84        65        
83        65        84        
84        66        85        
86        87        88        
70        89        88        
86        88        89        
70        69        89        
90        69        67        
67        72        90        
91        89        69        
91        69        90        
92        72        71        
71        74        92        
93        90        72        
72        92        93        
94        74        73        
73        76        94        
95        92        74        
74        94        95        
96        76        75        
75        78        96        
97        94        76        
76        96        97        
77        98        78        
77        79        98        
99        96        78        
78        98        99        
100       98        79        
100       79        101       
80        101       79        
81        102       80        
101       80        102       
82        103       81        
102       81        103       
83        104       82        
103       82        104       
84        105       83        
104       83        105       
85        106       84        
105       84        106       
106       85        107       
108       87        109       
110       111       108       
110       108       109       
86        112       87        
112       109       87        
86        113       112       
86        89        113       
113       89        114       
91        114       89        
91        90        115       
90        93        115       
91        115       114       
116       115       93        
93        92        117       
116       93        117       
95        117       92        
118       95        94        
118       94        97        
119       117       95        
119       95        118       
97        96        120       
99        120       96        
118       97        121       
121       97        120       
98        122       99        
100       122       98        
123       120       99        
99        122       123       
100       101       124       
100       124       122       
125       122       124       
102       126       101       
101       126       124       
103       127       102       
126       102       127       
104       128       103       
127       103       128       
105       129       104       
128       104       129       
106       130       105       
129       105       130       
107       131       106       
130       106       131       
131       107       132       
133       134       111       
109       112       135       
110       136       111       
133       111       136       
110       137       136       
110       109       137       
135       137       109       
113       138       112       
135       112       138       
138       113       139       
114       139       113       
139       114       140       
140       114       115       
140       115       141       
116       141       115       
116       142       141       
116       117       142       
142       117       143       
119       143       117       
119       118       144       
119       144       143       
118       121       144       
145       144       121       
121       120       146       
145       121       146       
123       146       120       
147       146       123       
148       123       122       
147       123       148       
125       148       122       
125       124       149       
125       149       148       
150       124       126       
149       124       150       
127       151       126       
150       126       151       
128       152       127       
151       127       152       
129       153       128       
152       128       153       
130       154       129       
153       129       154       
131       155       130       
154       130       155       
132       156       131       
155       131       156       
156       132       157       
158       159       134       
133       158       134       
133       136       160       
133       160       158       
135       138       161       
135       161       137       
137       162       136       
162       160       136       
162       137       163       
161       163       137       
139       164       138       
161       138       164       
164       139       165       
140       165       139       
165       140       166       
141       166       140       
166       141       167       
142       167       141       
167       142       168       
143       168       142       
143       169       168       
169       143       144       
170       169       144       
145       170       144       
145       171       170       
145       146       171       
172       171       146       
147       172       146       
147       148       173       
147       173       172       
149       174       148       
173       148       174       
149       150       175       
149       175       174       
151       176       150       
175       150       176       
152       177       151       
176       151       177       
153       178       152       
177       152       178       
154       179       153       
178       153       179       
155       180       154       
179       154       180       
156       181       155       
180       155       181       
157       182       156       
181       156       182       
182       157       183       
184       185       159       
159       158       184       
186       184       158       
158       160       186       
187       186       160       
162       188       160       
187       160       188       
189       161       164       
161       189       163       
163       190       162       
188       162       190       
190       163       191       
189       191       163       
165       192       164       
164       192       189       
192       165       193       
166       193       165       
193       166       194       
167       194       166       
194       167       195       
168       195       167       
195       168       196       
169       196       168       
196       169       197       
170       197       169       
197       170       198       
171       198       170       
199       198       171       
171       172       199       
199       172       200       
173       200       172       
200       173       201       
173       174       201       
175       202       174       
201       174       202       
176       203       175       
202       175       203       
177       204       176       
203       176       204       
178       205       177       
204       177       205       
179       206       178       
205       178       206       
180       207       179       
206       179       207       
181       208       180       
207       180       208       
182       209       181       
208       181       209       
183       210       182       
209       182       210       
210       183       211       
212       213       185       
185       184       212       
214       212       184       
184       186       214       
214       186       215       
187       215       186       
187       188       216       
187       216       215       
188       190       217       
217       216       188       
192       218       189       
191       189       218       
191       219       190       
217       190       219       
219       191       220       
218       220       191       
193       221       192       
218       192       221       
221       193       222       
194       222       193       
222       194       223       
195       223       194       
223       195       224       
196       224       195       
224       196       225       
197       225       196       
225       197       226       
198       226       197       
226       198       227       
199       227       198       
227       199       228       
200       228       199       
228       200       229       
201       229       200       
229       201       230       
202       230       201       
203       231       202       
230       202       231       
204       232       203       
231       203       232       
205       233       204       
232       204       233       
206       234       205       
233       205       234       
207       235       206       
234       206       235       
208       236       207       
235       207       236       
209       237       208       
236       208       237       
210       238       209       
237       209       238       
211       239       210       
238       210       239       
239       211       240       
241       242       213       
213       212       241       
243       241       212       
212       214       243       
244       243       214       
214       215       244       
245       244       215       
216       246       215       
245       215       246       
217       247       216       
246       216       247       
219       248       217       
247       217       248       
221       249       218       
220       218       249       
220       250       219       
248       219       250       
250       220       251       
249       251       220       
222       252       221       
249       221       252       
252       222       253       
223       253       222       
253       223       254       
224       254       223       
254       224       255       
225       255       224       
255       225       256       
226       256       225       
256       226       257       
227       257       226       
257       227       258       
228       258       227       
258       228       259       
229       259       228       
259       229       260       
230       260       229       
260       230       261       
231       261       230       
232       262       231       
261       231       262       
233       263       232       
262       232       263       
234       264       233       
263       233       264       
235       265       234       
264       234       265       
236       266       235       
265       235       266       
237       267       236       
266       236       267       
238       268       237       
267       237       268       
239       269       238       
268       238       269       
240       270       239       
269       239       270       
270       240       271       
272       273       242       
242       241       272       
274       272       241       
241       243       274       
275       274       243       
243       244       275       
244       276       275       
245       276       244       
245       246       277       
245       277       276       
247       278       246       
277       246       278       
248       279       247       
278       247       279       
250       280       248       
279       248       280       
252       281       249       
251       249       281       
251       282       250       
280       250       282       
282       251       283       
281       283       251       
253       284       252       
281       252       284       
284       253       285       
254       285       253       
285       254       286       
255       286       254       
286       255       287       
256       287       255       
287       256       288       
257       288       256       
288       257       289       
258       289       257       
289       258       290       
259       290       258       
290       259       291       
260       291       259       
291       260       292       
261       292       260       
292       261       293       
262       293       261       
263       294       262       
293       262       294       
264       295       263       
294       263       295       
265       296       264       
295       264       296       
266       297       265       
296       265       297       
267       298       266       
297       266       298       
268       299       267       
298       267       299       
269       300       268       
299       268       300       
270       301       269       
300       269       301       
271       302       270       
301       270       302       
302       271       303       
304       305       273       
273       272       304       
306       304       272       
272       274       306       
307       306       274       
274       275       307       
307       275       308       
275       276       308       
308       276       309       
309       276       310       
277       310       276       
278       311       277       
310       277       311       
279       312       278       
311       278       312       
280       313       279       
312       279       313       
282       314       280       
313       280       314       
284       315       281       
283       281       315       
283       316       282       
314       282       316       
316       283       317       
315       317       283       
285       318       284       
315       284       318       
318       285       319       
286       319       285       
319       286       320       
287       320       286       
320       287       321       
288       321       287       
321       288       322       
289       322       288       
322       289       323       
290       323       289       
323       290       324       
291       324       290       
324       291       325       
292       325       291       
325       292       326       
293       326       292       
326       293       327       
294       327       293       
295       328       294       
327       294       328       
296       329       295       
328       295       329       
297       330       296       
329       296       330       
298       331       297       
330       297       331       
299       332       298       
331       298       332       
300       333       299       
332       299       333       
301       334       300       
333       300       334       
302       335       301       
334       301       335       
303       336       302       
335       302       336       
336       303       337       
338       339       305       
305       304       338       
340       338       304       
304       306       340       
341       340       306       
306       307       341       
341       307       342       
308       342       307       
342       308       343       
309       343       308       
309       344       343       
345       309       310       
345       344       309       
310       311       346       
345       310       346       
312       347       311       
346       311       347       
313       348       312       
347       312       348       
314       349       313       
348       313       349       
316       350       314       
349       314       350       
318       351       315       
317       315       351       
317       352       316       
350       316       352       
352       317       353       
351       353       317       
319       354       318       
351       318       354       
354       319       355       
320       355       319       
355       320       356       
321       356       320       
356       321       357       
322       357       321       
357       322       358       
323       358       322       
358       323       359       
324       359       323       
359       324       360       
325       360       324       
360       325       361       
326       361       325       
361       326       362       
327       362       326       
362       327       363       
328       363       327       
329       364       328       
363       328       364       
330       365       329       
364       329       365       
331       366       330       
365       330       366       
332       367       331       
366       331       367       
333       368       332       
367       332       368       
334       369       333       
368       333       369       
335       370       334       
369       334       370       
336       371       335       
370       335       371       
337       372       336       
371       336       372       
372       337       373       
374       375       339       
339       338       374       
376       374       338       
338       340       376       
377       376       340       
340       341       377       
378       377       341       
342       378       341       
378       342       379       
343       379       342       
379       343       380       
344       380       343       
381       380       344       
345       346       382       
345       382       344       
381       344       382       
381       382       383       
347       384       346       
346       384       382       
348       385       347       
384       347       385       
349       386       348       
385       348       386       
350       387       349       
386       349       387       
352       388       350       
387       350       388       
354       389       351       
353       351       389       
353       390       352       
388       352       390       
390       353       391       
389       391       353       
355       392       354       
389       354       392       
392       355       393       
356       393       355       
393       356       394       
357       394       356       
394       357       395       
358       395       357       
395       358       396       
359       396       358       
396       359       397       
360       397       359       
397       360       398       
361       398       360       
398       361       399       
362       399       361       
399       362       400       
363       400       362       
400       363       401       
364       401       363       
365       402       364       
401       364       402       
366       403       365       
402       365       403       
367       404       366       
403       366       404       
368       405       367       
404       367       405       
369       406       368       
405       368       406       
370       407       369       
406       369       407       
371       408       370       
407       370       408       
372       409       371       
408       371       409       
373       410       372       
409       372       410       
410       373       411       
412       413       375       
375       374       412       
414       415       413       
413       412       414       
416       412       374       
374       376       416       
417       416       376       
376       377       417       
418       417       377       
377       378       418       
419       418       378       
379       419       378       
419       379       420       
380       420       379       
380       421       420       
381       421       380       
381       383       421       
383       422       421       
384       423       382       
383       382       423       
423       424       383       
422       383       424       
385       425       384       
423       384       425       
386       426       385       
425       385       426       
387       427       386       
426       386       427       
388       428       387       
427       387       428       
390       429       388       
428       388       429       
392       430       389       
391       389       430       
391       431       390       
429       390       431       
431       391       432       
430       432       391       
393       433       392       
430       392       433       
433       393       434       
394       434       393       
434       394       435       
395       435       394       
435       395       436       
396       436       395       
436       396       437       
397       437       396       
437       397       438       
398       438       397       
438       398       439       
399       439       398       
439       399       440       
400       440       399       
440       400       441       
401       441       400       
441       401       442       
402       442       401       
403       443       402       
442       402       443       
404       444       403       
443       403       444       
