
1         2         3         
3         2         4         
5         6         1         
3         5         1         
7         8         6         
6         5         7         
9         10        8         
8         7         9         
11        12        4         
3         4         12        
3         12        5         
7         5         13        
5         12        13        
14        9         7         
14        7         13        
10        15        16        
10        9         15        
17        15        9         
17        9         14        
18        16        15        
16        18        19        
20        21        19        
22        23        11        
12        11        23        
24        12        23        
13        12        24        
18        15        25        
14        26        17        
14        13        26        
13        24        26        
25        15        27        
17        27        15        
17        26        27        
28        26        24        
23        22        29        
30        29        22        
18        31        19        
18        25        31        
20        19        31        
20        32        21        
20        31        32        
33        21        32        
33        34        21        
25        35        31        
29        36        23        
24        23        36        
28        24        36        
35        25        37        
27        37        25        
27        38        37        
26        38        27        
28        38        26        
39        28        36        
39        38        28        
40        36        29        
29        30        41        
41        40        29        
42        41        30        
35        43        31        
32        31        43        
44        32        43        
33        32        44        
45        46        34        
33        45        34        
33        44        45        
37        47        35        
35        47        43        
48        36        40        
39        36        48        
49        48        40        
37        50        47        
50        37        38        
51        50        38        
39        51        38        
39        48        51        
40        41        52        
49        40        52        
49        52        53        
41        42        54        
54        52        41        
54        42        55        
56        43        47        
57        58        46        
46        45        57        
59        43        56        
43        59        44        
57        45        60        
59        60        44        
45        44        60        
61        62        58        
58        57        61        
47        50        63        
47        63        56        
53        64        49        
48        64        51        
49        64        48        
65        63        50        
50        51        65        
51        64        65        
66        56        63        
53        67        64        
53        52        68        
53        68        67        
69        52        54        
68        52        69        
55        70        54        
69        54        70        
70        55        71        
72        56        66        
56        72        59        
73        61        57        
57        60        73        
74        59        72        
59        74        60        
75        73        60        
75        60        74        
76        77        62        
62        61        76        
78        76        61        
61        73        78        
66        79        72        
63        65        80        
63        80        66        
81        80        65        
65        64        81        
67        81        64        
82        66        80        
79        66        82        
83        81        67        
84        67        68        
85        83        67        
84        85        67        
68        69        86        
84        68        86        
70        87        69        
86        69        87        
71        88        70        
87        70        88        
88        71        89        
90        91        77        
77        76        90        
92        93        91        
91        90        92        
94        95        93        
93        92        94        
96        72        79        
72        96        74        
97        78        73        
75        97        73        
96        98        74        
75        74        98        
75        98        97        
99        90        76        
76        78        99        
100       99        78        
78        97        100       
79        101       96        
