1         2         3         
1         3         4         
5         6         2         
1         5         2         
7         8         4         
1         4         8         
1         8         5         
9         7         10        
7         9         8         
11        12        6         
6         5         11        
13        11        5         
5         8         13        
14        8         9         
14        13        8         
12        11        15        
15        16        12        
17        10        18        
10        17        9         
19        9         17        
14        9         19        
20        15        11        
11        13        20        
20        13        21        
14        19        21        
14        21        13        
15        20        22        
23        24        16        
16        15        23        
22        23        15        
25        26        24        
24        23        25        
27        18        28        
18        27        17        
29        17        27        
19        17        29        
29        30        19        
19        30        21        
31        22        20        
31        20        21        
32        31        21        
32        21        30        
22        31        33        
34        25        23        
23        22        34        
33        34        22        
35        36        26        
26        25        35        
37        35        25        
25        34        37        
36        35        38        
38        39        36        
40        28        41        
28        40        27        
42        27        40        
27        42        29        
29        42        43        
43        30        29        
30        43        44        
32        30        44        
45        33        31        
32        45        31        
32        44        45        
45        46        33        
47        37        34        
34        33        47        
46        47        33        
48        38        35        
35        37        48        
49        48        37        
37        47        49        
50        38        48        
39        51        52        
39        38        51        
50        51        38        
53        52        51        
53        54        52        
55        41        56        
41        55        40        
57        40        55        
40        57        42        
58        42        57        
42        58        43        
59        43        58        
59        44        43        
60        44        59        
46        45        61        
45        44        61        
60        61        44        
62        46        61        
49        47        63        
47        46        63        
62        63        46        
64        49        63        
50        48        65        
48        49        65        
64        65        49        
50        66        51        
50        65        66        
53        51        67        
67        51        66        
53        68        54        
53        67        68        
69        70        71        
70        54        68        
69        54        70        
72        73        71        
74        56        75        
56        74        55        
76        55        74        
55        76        57        
70        77        71        
72        71        77        
78        57        76        
57        78        58        
79        58        78        
58        79        59        
80        59        79        
60        59        80        
60        80        81        
60        81        61        
62        61        82        
81        82        61        
62        83        63        
62        82        83        
64        63        84        
83        84        63        
64        85        65        
64        84        85        
86        66        65        
85        86        65        
87        67        66        
87        66        86        
67        88        68        
88        67        87        
89        68        88        
70        68        89        
70        89        77        
90        91        73        
72        90        73        
72        77        92        
72        92        90        
93        75        94        
75        93        74        
95        74        93        
74        95        76        
96        76        95        
76        96        78        
89        97        77        
97        92        77        
98        78        96        
78        98        79        
99        79        98        
79        99        80        
100       80        99        
80        100       81        
81        101       82        
101       81        100       
82        102       83        
102       82        101       
83        103       84        
103       83        102       
84        104       85        
104       84        103       
85        105       86        
105       85        104       
86        106       87        
106       86        105       
87        107       88        
107       87        106       
108       88        107       
88        108       89        
97        89        108       
97        109       92        
110       111       91        
91        90        110       
112       110       90        
90        92        112       
113       92        109       
113       112       92        
114       94        115       
94        114       93        
116       93        114       
93        116       95        
117       95        116       
95        117       96        
118       96        117       
96        118       98        
108       119       97        
119       109       97        
120       98        118       
98        120       99        
121       99        120       
99        121       100       
122       100       121       
100       122       101       
101       123       102       
123       101       122       
102       124       103       
124       102       123       
103       125       104       
125       103       124       
104       126       105       
126       104       125       
105       127       106       
127       105       126       
106       128       107       
128       106       127       
129       107       128       
107       129       108       
119       108       129       
109       119       130       
130       131       109       
113       109       131       
132       133       111       
111       110       132       
134       132       110       
110       112       134       
134       112       135       
113       131       135       
113       135       112       
136       115       137       
115       136       114       
138       114       136       
114       138       116       
139       116       138       
116       139       117       
140       117       139       
117       140       118       
141       118       140       
118       141       120       
129       142       119       
130       119       142       
143       120       141       
120       143       121       
121       144       122       
144       121       143       
122       145       123       
145       122       144       
123       146       124       
146       123       145       
124       147       125       
147       124       146       
125       148       126       
148       125       147       
126       149       127       
149       126       148       
127       150       128       
150       127       149       
151       128       150       
128       151       129       
142       129       151       
152       153       133       
133       132       152       
142       154       130       
155       130       154       
131       130       155       
156       131       155       
156       135       131       
157       152       132       
132       134       157       
158       157       134       
134       135       158       
159       158       135       
159       135       156       
160       137       161       
137       160       136       
162       136       160       
136       162       138       
163       138       162       
138       163       139       
164       139       163       
139       164       140       
165       140       164       
140       165       141       
166       141       165       
141       166       143       
151       167       142       
154       142       167       
168       143       166       
143       168       144       
144       169       145       
169       144       168       
145       170       146       
170       145       169       
146       171       147       
171       146       170       
147       172       148       
172       147       171       
148       173       149       
173       148       172       
149       174       150       
174       149       173       
175       150       174       
150       175       151       
167       151       175       
176       177       153       
153       152       176       
178       176       152       
152       157       178       
179       180       177       
177       176       179       
167       181       154       
182       154       181       
154       182       155       
183       155       182       
155       183       156       
184       156       183       
159       156       184       
185       178       157       
157       158       185       
158       186       185       
159       186       158       
159       184       186       
187       161       188       
161       187       160       
189       160       187       
160       189       162       
190       162       189       
162       190       163       
191       163       190       
163       191       164       
192       164       191       
164       192       165       
193       165       192       
165       193       166       
166       194       168       
194       166       193       
175       195       167       
181       167       195       
168       196       169       
196       168       194       
169       197       170       
197       169       196       
170       198       171       
198       170       197       
171       199       172       
199       171       198       
172       200       173       
200       172       199       
173       201       174       
201       173       200       
202       174       201       
174       202       175       
195       175       202       
203       204       180       
180       179       203       
205       179       176       
176       178       205       
206       205       178       
178       185       206       
207       203       179       
179       205       207       
195       208       181       
209       181       208       
181       209       182       
210       182       209       
182       210       183       
211       183       210       
183       211       184       
212       184       211       
184       212       186       
213       206       185       
185       186       213       
213       186       214       
212       214       186       
215       188       216       
188       215       187       
217       187       215       
187       217       189       
218       189       217       
189       218       190       
219       190       218       
190       219       191       
220       191       219       
191       220       192       
221       192       220       
192       221       193       
222       193       221       
193       222       194       
194       223       196       
223       194       222       
202       224       195       
208       195       224       
196       225       197       
225       196       223       
197       226       198       
226       197       225       
198       227       199       
227       198       226       
199       228       200       
228       199       227       
200       229       201       
229       200       228       
230       201       229       
201       230       202       
224       202       230       
231       232       204       
204       203       231       
233       234       232       
232       231       233       
235       231       203       
203       207       235       
236       207       205       
205       206       236       
237       236       206       
206       213       237       
238       235       207       
207       236       238       
224       239       208       
240       208       239       
208       240       209       
241       209       240       
209       241       210       
242       210       241       
210       242       211       
243       211       242       
212       211       243       
244       214       212       
244       212       243       
237       213       245       
214       245       213       
214       246       245       
244       246       214       
247       216       248       
216       247       215       
249       215       247       
215       249       217       
250       217       249       
217       250       218       
251       218       250       
218       251       219       
252       219       251       
219       252       220       
253       220       252       
220       253       221       
221       254       222       
254       221       253       
222       255       223       
255       222       254       
223       256       225       
256       223       255       
230       257       224       
239       224       257       
225       258       226       
258       225       256       
226       259       227       
259       226       258       
227       260       228       
260       227       259       
228       261       229       
261       228       260       
262       229       261       
229       262       230       
257       230       262       
263       264       234       
234       233       263       
265       266       264       
264       263       265       
267       233       231       
231       235       267       
268       263       233       
233       267       268       
269       267       235       
235       238       269       
270       238       236       
236       237       270       
270       237       271       
245       271       237       
272       269       238       
238       270       272       
257       273       239       
274       239       273       
239       274       240       
275       240       274       
240       275       241       
276       241       275       
241       276       242       
277       242       276       
243       242       277       
243       277       278       
244       243       278       
244       278       246       
271       245       279       
246       279       245       
280       279       246       
280       246       278       
281       248       282       
248       281       247       
283       247       281       
247       283       249       
284       249       283       
249       284       250       
285       250       284       
250       285       251       
286       251       285       
251       286       252       
287       252       286       
252       287       253       
288       253       287       
253       288       254       
254       289       255       
289       254       288       
255       290       256       
290       255       289       
256       291       258       
291       256       290       
262       292       257       
273       257       292       
258       293       259       
293       258       291       
259       294       260       
294       259       293       
260       295       261       
295       260       294       
296       261       295       
261       296       262       
292       262       296       
292       297       273       
298       299       266       
266       265       298       
300       301       299       
299       298       300       
302       265       263       
263       268       302       
303       298       265       
265       302       303       
304       268       267       
267       269       304       
305       302       268       
268       304       305       
306       304       269       
269       272       306       
307       272       270       
271       307       270       
307       271       308       
279       308       271       
309       306       272       
272       307       309       
310       273       297       
273       310       274       
311       274       310       
274       311       275       
312       275       311       
275       312       276       
313       276       312       
276       313       277       
314       277       313       
277       314       278       
315       278       314       
280       278       315       
279       316       308       
280       316       279       
280       315       316       
317       282       318       
282       317       281       
319       281       317       
281       319       283       
320       283       319       
283       320       284       
321       284       320       
284       321       285       
322       285       321       
285       322       286       
323       286       322       
286       323       287       
287       324       288       
324       287       323       
288       325       289       
325       288       324       
289       326       290       
326       289       325       
290       327       291       
327       290       326       
291       328       293       
328       291       327       
296       329       292       
297       292       329       
293       330       294       
330       293       328       
294       331       295       
331       294       330       
332       295       331       
295       332       296       
329       296       332       
329       333       297       
334       297       333       
297       334       310       
335       336       301       
301       300       335       
337       338       336       
336       335       337       
339       300       298       
298       303       339       
340       335       300       
300       339       340       
341       303       302       
302       305       341       
342       339       303       
303       341       342       
343       305       304       
304       306       343       
344       341       305       
305       343       344       
345       343       306       
306       309       345       
346       309       307       
307       308       346       
347       346       308       
308       316       347       
348       345       309       
309       346       348       
349       310       334       
310       349       311       
350       311       349       
311       350       312       
351       312       350       
312       351       313       
352       313       351       
313       352       314       
353       314       352       
315       314       353       
354       315       353       
315       354       316       
347       316       355       
355       316       354       
356       318       357       
318       356       317       
358       317       356       
317       358       319       
359       319       358       
319       359       320       
360       320       359       
320       360       321       
361       321       360       
321       361       322       
362       322       361       
322       362       323       
363       323       362       
323       363       324       
324       364       325       
364       324       363       
325       365       326       
365       325       364       
326       366       327       
366       326       365       
327       367       328       
367       327       366       
328       368       330       
368       328       367       
332       369       329       
333       329       369       
330       370       331       
370       330       368       
371       331       370       
331       371       332       
369       332       371       
369       372       333       
373       333       372       
333       373       334       
374       334       373       
334       374       349       
375       376       338       
338       337       375       
377       378       376       
376       375       377       
379       337       335       
335       340       379       
380       375       337       
337       379       380       
381       340       339       
339       342       381       
382       379       340       
340       381       382       
383       342       341       
341       344       383       
384       381       342       
342       383       384       
385       344       343       
343       345       385       
386       383       344       
344       385       386       
387       385       345       
345       348       387       
388       348       346       
346       347       388       
389       388       347       
355       389       347       
390       387       348       
348       388       390       
391       349       374       
349       391       350       
392       350       391       
350       392       351       
393       351       392       
351       393       352       
394       352       393       
353       352       394       
395       353       394       
354       353       395       
396       355       354       
396       354       395       
397       389       355       
396       397       355       
398       357       399       
357       398       356       
400       356       398       
356       400       358       
401       358       400       
358       401       359       
402       359       401       
359       402       360       
403       360       402       
360       403       361       
404       361       403       
361       404       362       
362       405       363       
405       362       404       
363       406       364       
406       363       405       
364       407       365       
407       364       406       
365       408       366       
408       365       407       
366       409       367       
409       366       408       
367       410       368       
410       367       409       
368       411       370       
411       368       410       
371       412       369       
372       369       412       
413       370       411       
370       413       371       
412       371       413       
412       414       372       
415       372       414       
372       415       373       
416       373       415       
373       416       374       
417       374       416       
374       417       391       
418       419       378       
378       377       418       
420       377       375       
375       380       420       
421       418       377       
377       420       421       
422       380       379       
379       382       422       
423       420       380       
380       422       423       
424       382       381       
381       384       424       
425       422       382       
382       424       425       
426       384       383       
383       386       426       
427       424       384       
384       426       427       
428       386       385       
385       387       428       
429       426       386       
386       428       429       
430       428       387       
387       390       430       
390       388       431       
389       431       388       
432       431       389       
397       432       389       
433       430       390       
431       433       390       
434       391       417       
391       434       392       
435       392       434       
392       435       393       
436       393       435       
393       436       394       
437       394       436       
395       394       437       
395       437       438       
396       395       438       
396       438       397       
439       432       397       
439       397       438       
440       399       441       
399       440       398       
442       398       440       
398       442       400       
443       400       442       
400       443       401       
444       401       443       
401       444       402       
445       402       444       
402       445       403       
446       403       445       
403       446       404       
447       404       446       
404       447       405       
405       448       406       
